County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
Cherokee,SC,57078,140.9,3.6,42542,27789,29289,13140,6738,6402,34340,16792,17548,9598,4259,5339,1010,320,690,12,0,1042,30
Chester,SC,32251,57.1,4.8,42116,15529,16722,7244,3706,3538,18952,9167,9785,6055,2656,3399,680,219,461,6,0,1991,1
Chesterfield,SC,45754,58.5,3.3,39046,22259,23495,10032,5040,4992,27327,13512,13815,8395,3707,4688,774,272,502,6,0,4081,52
Clarendon,SC,33700,57.6,4.7,36722,16548,17152,6479,3284,3195,19307,9674,9633,7914,3590,4324,693,274,419,6,0,11760,1165
Colleton,SC,37660,36.8,4,39079,18131,19529,8390,4290,4100,21675,10374,11301,7595,3467,4128,720,273,447,8,0,2238,225
Darlington,SC,66802,122.4,4.1,37206,31517,35285,14817,7528,7289,39307,18555,20752,12678,5434,7244,1285,388,897,12,678897711,8224,162
Dillon,SC,30599,79.2,4.8,33159,14515,16084,7743,4038,3705,17756,8329,9427,5100,2148,2952,571,160,411,6,938886322,4121,39
Dorchester,SC,160647,238.2,3,65468,78076,82571,39214,19903,19311,98799,48106,50693,22634,10067,12567,2044,709,1335,0,196017506,5948,122
Edgefield,SC,27052,53.9,3.5,48818,14524,12528,4894,2469,2425,17084,9709,7375,5074,2346,2728,545,170,375,0,0,1715,72
Fairfield,SC,22402,34.9,6.2,39522,10703,11699,4299,2228,2071,13233,6257,6976,4870,2218,2652,445,142,303,0,0,4271,240
Florence,SC,138159,171.1,3.7,47949,64459,73700,32590,16360,16230,82098,38245,43853,23471,9854,13617,2359,730,1629,98,180929529,19329,1058
Georgetown,SC,62249,73.9,4.5,46058,29460,32789,11438,5898,5540,33521,15687,17834,17290,7875,9415,1420,530,890,10,606469135,2677,138
Greenville,SC,514213,574.7,2.9,61162,249364,264849,118364,60209,58155,314713,153510,161203,81136,35645,45491,8757,3076,5681,137,1744395994,46331,1810
Greenwood,SC,70741,153.2,3.6,43879,32949,37792,15969,8031,7938,41677,19274,22403,13095,5644,7451,1825,630,1195,30,0,3211,18
Hampton,SC,19351,37.7,3.5,35871,9900,9451,4116,2106,2010,11672,6190,5482,3563,1604,1959,374,135,239,6,88333945,1314,5
Horry,SC,344147,237.5,4.2,49082,165810,178337,61715,31292,30423,200001,95681,104320,82431,38837,43594,6028,2319,3709,100,902688942,14156,901
Jasper,SC,28971,37.8,3,43125,14620,14351,5889,2992,2897,17472,9064,8408,5610,2564,3046,462,160,302,4,0,1314,53
Kershaw,SC,65592,84.9,3.5,52270,31622,33970,15167,7817,7350,38397,18516,19881,12028,5289,6739,1220,386,834,10,163297415,15009,579
Lancaster,SC,95380,139.6,3.8,58035,46267,49113,20786,10467,10319,54535,26873,27662,20059,8927,11132,1753,678,1075,20,0,5557,192
Laurens,SC,66994,93.2,3.6,42099,32381,34613,14592,7499,7093,39992,19343,20649,12410,5539,6871,1504,478,1026,8,0,2157,105
Lee,SC,17142,46.9,4.6,33199,8813,8329,3453,1790,1663,10542,5669,4873,3147,1354,1793,293,94,199,0,0,5505,452
Lexington,SC,295032,375.4,2.9,60627,143554,151478,68294,34737,33557,180157,88141,92016,46581,20676,25905,4806,1645,3161,55,1125599442,22823,1035
McCormick,SC,9410,28.5,3.6,44683,5053,4357,1116,562,554,5007,2894,2113,3287,1597,1690,201,107,94,0,0,346,55
Marion,SC,31039,67.6,5.5,34365,14230,16809,7082,3578,3504,17795,8149,9646,6162,2503,3659,586,154,432,10,775971592,2055,145
Marlboro,SC,26398,60.3,5.1,33534,13778,12620,5257,2688,2569,16380,9037,7343,4761,2053,2708,444,130,314,0,0,3252,10
Newberry,SC,38520,59.5,3.1,48029,18793,19727,8404,4228,4176,22564,11241,11323,7552,3324,4228,867,253,614,7,0,1653,54
Oconee,SC,78374,118.6,3.3,50529,38557,39817,15615,7913,7702,44563,22181,22382,18196,8463,9733,1632,578,1054,12,144784249,1694,0
Orangeburg,SC,86934,83.6,5.8,37134,40548,46386,19044,9569,9475,50776,23666,27110,17114,7313,9801,1889,626,1263,20,0,5080,73
Pickens,SC,124937,240.2,3.4,48794,62214,62723,23712,12100,11612,80565,40828,39737,20660,9286,11374,2339,862,1477,15,1403762406,3975,68
Richland,SC,414576,507.9,3.4,52611,200319,214257,88630,44831,43799,273156,133040,140116,52790,22448,30342,5446,1790,3656,211,4650914195,55148,2169
Saluda,SC,20544,43.9,3.1,46019,10416,10128,4450,2321,2129,12034,6245,5789,4060,1850,2210,486,155,331,0,0,3765,3
Spartanburg,SC,313888,351.9,3.1,53567,152188,161700,72501,36881,35620,190575,93076,97499,50812,22231,28581,5062,1667,3395,39,1585142574,18088,582
Sumter,SC,106512,161.6,4,45181,51216,55296,25354,12770,12584,63642,31100,32542,17516,7346,10170,1959,643,1316,17,1414571519,14551,630
Union,SC,27410,56.3,4.1,40686,12987,14423,5816,2971,2845,16040,7661,8379,5554,2355,3199,625,181,444,6,0,1555,0
Williamsburg,SC,30606,36.8,5.4,32814,14492,16114,6340,3145,3195,17825,8594,9231,6441,2753,3688,692,187,505,4,875757032,5890,257
York,SC,274118,332.2,3.3,64904,132238,141880,66495,33774,32721,168387,81118,87269,39236,17346,21890,3568,1197,2371,24,139005791,13472,238
Aurora,SD,2801,3.8,2.9,53107,1490,1311,695,392,303,1529,821,708,577,277,300,89,36,53,0,0,310,0
Beadle,SD,18883,13.8,2.6,49712,9619,9264,5208,2721,2487,10466,5420,5046,3209,1478,1731,552,168,384,6,0,3119,120
Bennett,SD,3468,2.9,4.5,37071,1695,1773,1175,586,589,1860,908,952,433,201,232,51,29,22,0,0,,
Bon Homme,SD,6980,12.5,2.5,50278,4131,2849,1418,735,683,4140,2738,1402,1422,658,764,303,105,198,0,0,278,0
Brookings,SD,35232,40.3,2.8,62109,18287,16945,7223,3775,3448,23814,12574,11240,4195,1938,2257,578,200,378,0,0,683,0
Brown,SD,39316,21.3,2.8,60082,19322,19994,9416,4710,4706,23153,11701,11452,6747,2911,3836,1143,368,775,10,0,5892,5
Brule,SD,5229,6.4,2.7,49732,2612,2617,1365,706,659,2872,1446,1426,992,460,532,178,60,118,0,0,,
Buffalo,SD,2036,4.1,5.9,25973,1012,1024,802,404,398,1074,542,532,160,66,94,13,5,8,0,0,142,0
Butte,SD,10222,4.5,3.3,44388,5176,5046,2476,1293,1183,5698,2877,2821,2048,1006,1042,235,87,148,0,0,,
Campbell,SD,1377,2,3.9,45737,716,661,219,113,106,768,411,357,390,192,198,68,28,40,0,0,,
Charles Mix,SD,9338,8.3,3.2,47412,4667,4671,2775,1440,1335,4848,2429,2419,1715,798,917,296,108,188,0,0,400,0
Clark,SD,3739,3.9,4,48517,1925,1814,966,492,474,1982,1075,907,791,358,433,115,27,88,0,0,126,0
Clay,SD,14041,33.6,2.9,46378,7027,7014,2456,1277,1179,9868,4936,4932,1717,814,903,220,57,163,0,0,520,0
Codington,SD,28015,39.5,3,55580,14081,13934,6724,3432,3292,16342,8386,7956,4949,2263,2686,790,297,493,8,0,1036,0
Corson,SD,4165,1.6,4.1,34024,2089,2076,1538,751,787,2156,1113,1043,471,225,246,44,17,27,0,0,104,0
Custer,SD,8726,5.3,4,58806,4337,4389,1343,702,641,4762,2304,2458,2621,1331,1290,231,82,149,0,0,,
Davison,SD,19790,44.8,2.6,51724,9894,9896,4539,2331,2208,11527,5958,5569,3724,1605,2119,725,207,518,8,0,433,85
Day,SD,5505,5.6,4.2,48023,2807,2698,1241,629,612,2864,1507,1357,1400,671,729,243,80,163,0,0,327,0
Deuel,SD,4337,7,4.4,55404,2243,2094,1032,567,465,2356,1240,1116,949,436,513,143,60,83,0,0,65,0
Dewey,SD,5904,2.3,8.8,41942,2927,2977,2237,1154,1083,3108,1521,1587,559,252,307,53,21,32,0,0,,
Douglas,SD,2935,7,2.7,55159,1452,1483,755,361,394,1473,756,717,707,335,372,148,43,105,0,0,51,0
Edmunds,SD,3875,3.6,2.7,58977,1939,1936,926,460,466,2115,1094,1021,834,385,449,154,55,99,0,0,3,0
Fall River,SD,6758,4.1,3.9,46782,3417,3341,1155,594,561,3643,1845,1798,1960,978,982,220,81,139,0,0,118,0
Faulk,SD,2330,2.4,3,49068,1156,1174,590,289,301,1196,602,594,544,265,279,117,52,65,0,0,66,0
Grant,SD,7147,10.8,3.2,59813,3756,3391,1609,884,725,4049,2178,1871,1489,694,795,224,84,140,0,0,199,0
Gregory,SD,4212,4.2,3.3,40583,2167,2045,992,548,444,2148,1119,1029,1072,500,572,197,67,130,0,0,1,0
Haakon,SD,1918,1.1,2.6,51801,954,964,449,216,233,1001,528,473,468,210,258,71,15,56,0,0,,
Hamlin,SD,6111,11.6,3.1,65776,3138,2973,1924,989,935,3234,1705,1529,953,444,509,161,45,116,0,0,134,0
Hand,SD,3262,2.4,2.3,52568,1627,1635,715,362,353,1721,895,826,826,370,456,197,76,121,0,0,40,0
Hanson,SD,3376,7.7,4.6,63772,1690,1686,1032,515,517,1823,914,909,521,261,260,30,11,19,0,0,,
Harding,SD,1249,0.5,2.5,55017,657,592,290,148,142,737,396,341,222,113,109,34,14,20,0,0,,
Hughes,SD,17650,23,2.6,70093,8680,8970,4251,2171,2080,10342,5043,5299,3057,1466,1591,443,165,278,6,0,651,0
Hutchinson,SD,7380,9,2.8,54434,3605,3775,1880,892,988,3803,1974,1829,1697,739,958,374,130,244,0,0,174,0
Hyde,SD,1282,1.7,3.1,52496,666,616,265,145,120,693,355,338,324,166,158,63,17,46,0,0,49,0
Jackson,SD,3307,1.6,4.9,34122,1662,1645,1105,562,543,1760,883,877,442,217,225,59,25,34,0,0,20,0
Jerauld,SD,2043,3.9,2.5,47689,1032,1011,480,252,228,1013,540,473,550,240,310,102,24,78,0,0,512,38
Jones,SD,928,1,2.7,49609,458,470,206,109,97,506,241,265,216,108,108,33,13,20,0,0,,
Kingsbury,SD,4919,6.2,2.9,54609,2524,2395,1127,587,540,2653,1385,1268,1139,552,587,193,69,124,0,0,3,0
Lake,SD,13057,19.9,3.4,60733,6810,6247,2627,1379,1248,7559,3934,3625,2871,1497,1374,277,95,182,0,0,237,0
Lawrence,SD,25741,30.1,2.9,51774,12867,12874,4600,2403,2197,15524,7765,7759,5617,2699,2918,703,235,468,5,0,570,0
Lincoln,SD,58807,77.7,2.3,84889,29097,29710,16465,8529,7936,34774,17162,17612,7568,3406,4162,929,323,606,0,0,8374,0
Lyman,SD,3821,2.3,4.1,47429,1998,1823,1123,596,527,2093,1113,980,605,289,316,59,16,43,0,0,273,0
McCook,SD,5546,9.8,2.5,59913,2779,2767,1527,786,741,2966,1532,1434,1053,461,592,162,46,116,0,0,258,53
McPherson,SD,2407,2.2,3.8,39850,1192,1215,592,301,291,1139,579,560,676,312,364,140,47,93,0,0,37,0
Marshall,SD,5112,5.6,3.8,56862,2750,2362,1191,619,572,2888,1632,1256,1033,499,534,157,52,105,0,0,99,0
Meade,SD,28294,7.3,3.3,59524,14725,13569,6463,3277,3186,17515,9343,8172,4316,2105,2211,458,168,290,3,0,222,0
Mellette,SD,2042,1.6,4.9,32780,1059,983,627,333,294,1099,557,542,316,169,147,36,14,22,0,0,,
Miner,SD,2213,4.2,2.8,50123,1149,1064,524,282,242,1225,633,592,464,234,230,90,34,56,0,0,52,0
Minnehaha,SD,192876,210,2.6,60033,97356,95520,49051,25095,23956,118596,60930,57666,25229,11331,13898,3394,1123,2271,54,2769716497,119567,1171
Moody,SD,6579,12.5,3,57392,3272,3307,1714,851,863,3631,1840,1791,1234,581,653,173,71,102,0,0,492,0
Oglala Lakota,SD,14309,,10.3,31662,7010,7299,5324,2701,2623,7940,3896,4044,1045,413,632,78,21,57,0,0,311,0
Pennington,SD,111729,36.4,3.1,58738,56294,55435,25603,13263,12340,66039,33596,32443,20087,9435,10652,2491,895,1596,38,1996876751,2780,24
Perkins,SD,2922,1,2.9,55626,1465,1457,605,311,294,1582,794,788,735,360,375,152,45,107,0,0,,
Potter,SD,2207,2.7,3.5,54722,1094,1113,479,256,223,1090,553,537,638,285,353,112,35,77,0,0,,
Roberts,SD,10447,9.2,4.3,44709,5254,5193,2989,1526,1463,5425,2738,2687,2033,990,1043,297,110,187,0,0,754,0
Sanborn,SD,2429,4.1,2.9,54874,1266,1163,614,320,294,1338,710,628,477,236,241,71,25,46,0,0,246,0
Spink,SD,6495,4.3,3.5,50590,3251,3244,1493,765,728,3654,1873,1781,1348,613,735,245,76,169,0,0,201,0
Stanley,SD,3022,2.1,2.6,69991,1550,1472,731,370,361,1674,862,812,617,318,299,62,28,34,0,0,296,0
Sully,SD,1392,1.4,2.6,59457,732,660,292,145,147,752,404,348,348,183,165,53,20,33,0,0,50,0
Todd,SD,10283,6.9,6.2,31876,5004,5279,4318,2161,2157,5204,2514,2690,761,329,432,92,34,58,0,0,467,5
Tripp,SD,5478,3.5,2.6,45710,2761,2717,1264,654,610,2985,1569,1416,1229,538,691,234,71,163,0,0,71,0
Turner,SD,8424,13.5,2.7,62792,4241,4183,2054,1063,991,4624,2368,2256,1746,810,936,291,113,178,0,0,844,0
Union,SD,15619,31.3,3.2,80698,7874,7745,3779,1866,1913,9008,4652,4356,2832,1356,1476,364,133,231,0,50377991,2098,0
Walworth,SD,5587,7.7,4.9,48394,2775,2812,1324,657,667,2951,1515,1436,1312,603,709,220,77,143,4,0,240,0
Yankton,SD,22869,43.1,2.6,56535,11900,10969,4860,2461,2399,13698,7531,6167,4311,1908,2403,727,240,487,10,0,1836,0
Ziebach,SD,2742,1.4,5.1,32341,1369,1373,774,361,413,1705,882,823,263,126,137,34,20,14,0,0,26,0
Anderson,TN,76482,222.8,3.8,50672,37216,39266,16078,8189,7889,45048,22268,22780,15356,6759,8597,2155,729,1426,25,0,1619,54
Bedford,TN,49038,95.1,3.7,49860,24090,24948,12455,6315,6140,29186,14516,14670,7397,3259,4138,673,219,454,8,0,9556,147
Benton,TN,16184,41.8,4.9,38940,7926,8258,3242,1660,1582,9117,4481,4636,3825,1785,2040,400,131,269,0,0,354,39
Bledsoe,TN,14755,31.7,5.8,40195,8697,6058,2251,1252,999,9781,6096,3685,2723,1349,1374,258,113,145,0,0,23490,20
Blount,TN,131349,220.2,3.2,57939,63707,67642,26559,13467,13092,78215,38327,39888,26575,11913,14662,2878,1010,1868,16,0,3780,165
Bradley,TN,106727,301,3.6,50427,51892,54835,23242,11891,11351,65210,32061,33149,18275,7940,10335,1954,645,1309,27,0,3583,48
Campbell,TN,39583,84.8,4.8,39443,19454,20129,8149,4244,3905,23222,11507,11715,8212,3703,4509,805,289,516,10,0,877,47
Cannon,TN,14462,52,3.2,51859,7186,7276,3098,1565,1533,8713,4449,4264,2651,1172,1479,281,96,185,0,0,697,0
Carroll,TN,28020,47.6,4.9,42025,13713,14307,5986,3111,2875,16335,8132,8203,5699,2470,3229,666,232,434,6,0,1119,42
Carter,TN,56351,168.3,4.1,39202,27579,28772,10345,5225,5120,33642,16682,16960,12364,5672,6692,1412,536,876,8,255474798,719,47
Cheatham,TN,40439,129.3,2.7,63241,20093,20346,8958,4547,4411,25428,12743,12685,6053,2803,3250,485,168,317,0,177643445,3376,0
Chester,TN,17276,60,3.8,47508,8309,8967,3814,1946,1868,10496,5078,5418,2966,1285,1681,368,119,249,0,0,595,0
Claiborne,TN,31756,74.1,4.2,37987,15530,16226,6060,3096,2964,19362,9585,9777,6334,2849,3485,555,174,381,5,0,355,0
Clay,TN,7717,33.2,5,34238,3800,3917,1557,771,786,4283,2154,2129,1877,875,1002,190,70,120,0,0,290,0
Cocke,TN,35774,82.1,4.7,36192,17289,18485,7275,3704,3571,20963,10056,10907,7536,3529,4007,633,248,385,5,0,836,0
Coffee,TN,55700,123.1,3.4,49494,27208,28492,13346,6844,6502,32734,16161,16573,9620,4203,5417,1077,384,693,14,0,2284,0
Crockett,TN,14328,54.9,3.9,44431,6853,7475,3375,1676,1699,8261,4025,4236,2692,1152,1540,343,93,250,0,0,455,23
Cumberland,TN,59673,82.3,4.4,46527,29067,30606,10445,5327,5118,30921,15014,15907,18307,8726,9581,1712,733,979,12,0,4401,34
Davidson,TN,692587,1243.3,2.6,60799,334279,358308,144027,73067,70960,463765,225468,238297,84795,35744,49051,10052,3173,6879,614,1133318579,179369,1894
Decatur,TN,11706,35.2,4.8,42905,5748,5958,2463,1287,1176,6501,3263,3238,2742,1198,1544,345,111,234,0,0,221,0
DeKalb,TN,20138,61.5,4.4,47420,10061,10077,4351,2299,2052,12088,6100,5988,3699,1662,2037,345,116,229,4,0,1222,0
Dickson,TN,53446,101.4,3,56166,26248,27198,12341,6346,5995,32450,16038,16412,8655,3864,4791,863,291,572,6,7987975,4212,0
Dyer,TN,37320,74.8,4.6,44302,17994,19326,8927,4589,4338,21827,10562,11265,6566,2843,3723,694,220,474,10,72158474,2022,0
Fayette,TN,40507,54.5,3.7,59529,19937,20570,7695,3969,3726,24157,11892,12265,8655,4076,4579,773,300,473,0,0,3922,65
Fentress,TN,18217,36,4.2,36687,8890,9327,3828,1942,1886,10389,5118,5271,4000,1830,2170,306,101,205,0,0,325,0
Franklin,TN,41890,74,3.4,50201,20459,21431,8407,4232,4175,25095,12400,12695,8388,3827,4561,895,323,572,10,0,2015,59
Gibson,TN,49045,82.4,4.5,42720,23517,25528,11927,6115,5812,28255,13631,14624,8863,3771,5092,1208,393,815,3,0,2511,40
Giles,TN,29503,48.3,3.7,48024,14321,15182,6243,3104,3139,17357,8586,8771,5903,2631,3272,638,200,438,6,0,455,0
Grainger,TN,23145,80.7,4,41829,11660,11485,4704,2468,2236,13700,6936,6764,4741,2256,2485,341,120,221,0,0,308,0
Greene,TN,69087,110.6,4.6,44366,33987,35100,13358,7010,6348,40811,20255,20556,14918,6722,8196,1423,481,942,6,0,2373,109
Grundy,TN,13346,38,4.4,36317,6602,6744,2877,1531,1346,7673,3849,3824,2796,1222,1574,250,78,172,0,0,1593,48
Hamblen,TN,64569,388,3.8,44040,31520,33049,14901,7552,7349,37745,18830,18915,11923,5138,6785,1319,409,910,20,0,1035,92
Hamilton,TN,364286,620.3,3.4,57196,175888,188398,75645,38647,36998,224611,109464,115147,64030,27777,36253,8390,2716,5674,215,2192192315,17206,747
Hancock,TN,6549,30.7,5.1,30691,3231,3318,1362,698,664,3791,1888,1903,1396,645,751,126,39,87,0,0,13,0
Hardeman,TN,25220,40.8,5,37834,13778,11442,4939,2426,2513,15719,9260,6459,4562,2092,2470,469,161,308,0,0,4589,0
Hardin,TN,25776,45.1,4.4,37690,12572,13204,5299,2680,2619,14522,7156,7366,5955,2736,3219,655,168,487,0,0,391,24
Hawkins,TN,56530,116.7,4,42188,27743,28787,11240,5723,5517,33346,16550,16796,11944,5470,6474,1186,440,746,6,106918514,1653,110
Haywood,TN,17335,35.2,5.4,39574,8085,9250,3855,1923,1932,10181,4767,5414,3299,1395,1904,413,147,266,0,0,1216,61
Henderson,TN,27847,53.4,4.7,43491,13519,14328,6344,3257,3087,16373,8004,8369,5130,2258,2872,567,203,364,0,0,445,0
Henry,TN,32358,57.5,4.2,43159,15686,16672,6638,3345,3293,18194,8974,9220,7526,3367,4159,763,267,496,6,0,869,0
Hickman,TN,25063,40.3,3.2,44684,13172,11891,5204,2728,2476,15458,8447,7011,4401,1997,2404,410,132,278,0,0,1928,0
Houston,TN,8263,42.1,5.5,44688,4058,4205,1802,912,890,4765,2373,2392,1696,773,923,184,75,109,0,0,312,0
Humphreys,TN,18486,34.9,4.3,48056,9196,9290,3979,2093,1886,10807,5388,5419,3700,1715,1985,364,145,219,0,0,535,37
Jackson,TN,11758,37.7,4.7,37563,5848,5910,2115,1085,1030,7002,3499,3503,2641,1264,1377,239,88,151,0,0,526,0
Jefferson,TN,54012,187.6,3.8,49611,26586,27426,10618,5428,5190,32576,16220,16356,10818,4938,5880,985,341,644,6,0,1275,2
Johnson,TN,17778,61.1,3.5,35778,9573,8205,2976,1543,1433,10746,6146,4600,4056,1884,2172,410,147,263,0,0,422,0
Knox,TN,465289,850.5,2.9,55874,226006,239283,97591,49884,47707,294037,144225,149812,73661,31897,41764,8535,2810,5725,254,3904504905,14995,261
Lake,TN,7411,47.2,5.2,33709,4764,2647,1050,560,490,5195,3675,1520,1166,529,637,139,37,102,0,0,8785,0
Lauderdale,TN,25825,58.9,5.8,38849,13304,12521,5827,2981,2846,15921,8542,7379,4077,1781,2296,373,120,253,0,0,1597,14
Lawrence,TN,43734,67.8,4,43651,21488,22246,10932,5617,5315,25008,12380,12628,7794,3491,4303,866,264,602,6,0,1036,0
Lewis,TN,12086,43.1,4.4,40541,5893,6193,2602,1331,1271,6955,3432,3523,2529,1130,1399,308,103,205,0,0,145,0
Lincoln,TN,34117,58.5,3.1,51249,16753,17364,7540,3814,3726,19947,10038,9909,6630,2901,3729,679,233,446,7,0,857,0
Loudon,TN,53054,211.8,3.4,58186,26085,26969,10295,5383,4912,28733,14114,14619,14026,6588,7438,1375,515,860,5,0,3102,0
McMinn,TN,53285,121.5,4.1,46029,25975,27310,11306,5809,5497,31521,15447,16074,10458,4719,5739,1164,434,730,4,0,4241,282
McNairy,TN,25832,46.3,5.4,39859,12692,13140,5636,2929,2707,14826,7343,7483,5370,2420,2950,504,175,329,0,0,606,0
Macon,TN,24265,72.4,3.2,42265,11862,12403,5987,3054,2933,14464,7114,7350,3814,1694,2120,359,128,231,0,0,3334,155
Madison,TN,97605,176.4,3.8,46651,46226,51379,21872,11207,10665,59118,27787,31331,16615,7232,9383,1966,661,1305,76,2672051807,7042,61
Marion,TN,28575,56.7,4.7,50819,13960,14615,6013,3071,2942,16825,8299,8526,5737,2590,3147,551,198,353,0,0,1759,61
Marshall,TN,33683,81.5,3.4,51868,16495,17188,7899,4014,3885,20354,10033,10321,5430,2448,2982,555,178,377,0,0,1212,52
Maury,TN,94340,132,3.2,57337,45506,48834,22094,11093,11001,57232,27716,29516,15014,6697,8317,1501,474,1027,65,98939169,3042,29
Meigs,TN,12306,60.2,4.5,50565,6109,6197,2512,1233,1279,7182,3556,3626,2612,1320,1292,204,90,114,0,0,745,0
Monroe,TN,46357,70,3.7,45566,23088,23269,9768,5100,4668,26771,13488,13283,9818,4500,5318,868,306,562,0,0,1636,59
Montgomery,TN,205950,319.6,3.8,56102,102544,103406,54985,27953,27032,131960,66186,65774,19005,8405,10600,1739,652,1087,21,12,9345,122
Moore,TN,6411,49.2,3,58234,3203,3208,1214,642,572,3818,1911,1907,1379,650,729,165,63,102,0,,131,0
Morgan,TN,21579,42.1,4.5,40397,11809,9770,4141,2154,1987,13602,7852,5750,3836,1803,2033,366,135,231,0,0,534,0
Obion,TN,30267,58.4,4.9,42532,14647,15620,6560,3336,3224,17528,8601,8927,6179,2710,3469,690,200,490,7,0,845,60
Overton,TN,22068,50.9,3.8,42149,10939,11129,4663,2450,2213,12864,6415,6449,4541,2074,2467,410,147,263,6,0,681,0
Perry,TN,8064,19.1,4.3,41960,4069,3995,1784,899,885,4575,2365,2210,1705,805,900,206,74,132,0,0,591,0
Pickett,TN,5082,31.2,3.8,40182,2542,2540,901,470,431,2779,1390,1389,1402,682,720,129,48,81,0,0,45,0
Polk,TN,16898,38.7,4.2,41968,8325,8573,3306,1661,1645,10048,4991,5057,3544,1673,1871,342,112,230,0,0,545,0
Putnam,TN,78843,180.3,3.6,45512,39227,39616,16455,8438,8017,49254,24995,24259,13134,5794,7340,1496,540,956,38,0,11126,212
Rhea,TN,33044,100.9,5.6,44132,16401,16643,7497,3817,3680,19398,9743,9655,6149,2841,3308,613,236,377,3,0,2375,0
Roane,TN,53140,150.2,4.1,54440,25926,27214,9981,5120,4861,31051,15241,15810,12108,5565,6543,1440,512,928,6,0,522,0
Robertson,TN,71012,139.2,3.1,66006,35082,35930,16947,8600,8347,43545,21655,21890,10520,4827,5693,941,333,608,8,250859715,12034,16
Rutherford,TN,324890,424,2.7,64170,159916,164974,80100,40842,39258,210824,104059,106765,33966,15015,18951,3201,1102,2099,78,1397080344,34915,727
Scott,TN,22039,41.8,4.3,35685,10821,11218,5357,2701,2656,12978,6439,6539,3704,1681,2023,342,138,204,0,0,621,0
Sequatchie,TN,14876,53.1,4.3,49707,7363,7513,3101,1593,1508,8747,4353,4394,3028,1417,1611,291,101,190,0,0,362,0
Sevier,TN,97892,151.7,3.5,47202,47915,49977,20173,10500,9673,58378,28579,29799,19341,8836,10505,1676,622,1054,16,473265171,2918,72
Shelby,TN,935764,1215.5,4.2,47924,444522,491242,232721,117840,114881,575944,273873,302071,127099,52809,74290,14654,4514,10140,277,3348676552,162993,3425
Smith,TN,19942,61,3.1,50704,9921,10021,4523,2322,2201,12034,6062,5972,3385,1537,1848,291,85,206,2,0,1152,47
Stewart,TN,13561,29,5,46565,6773,6788,2836,1450,1386,7967,4030,3937,2758,1293,1465,269,110,159,0,0,374,0
Sullivan,TN,157668,379.4,3.7,46024,76687,80981,30362,15538,14824,92777,45797,46980,34529,15352,19177,4019,1400,2619,103,1566920098,2958,80
Sumner,TN,187149,303.4,2.8,66171,91378,95771,43922,22461,21461,113563,55725,57838,29664,13192,16472,3052,1056,1996,38,82993824,37784,2011
Tipton,TN,61581,133.3,4.2,60874,30396,31185,15162,7773,7389,37515,18581,18934,8904,4042,4862,825,311,514,7,0,12031,62
Trousdale,TN,11012,68.9,3.3,49280,6521,4491,1939,1007,932,7647,4845,2802,1426,669,757,132,45,87,0,,43130,125
Unicoi,TN,17761,98.4,4.9,43688,8724,9037,3310,1697,1613,10328,5149,5179,4123,1878,2245,487,155,332,0,0,124,0
Union,TN,19688,85.5,4.1,40322,9700,9988,4273,2137,2136,11812,5877,5935,3603,1686,1917,329,103,226,0,0,190,0
Van Buren,TN,5765,20.3,4.7,38265,2886,2879,1110,568,542,3290,1667,1623,1365,651,714,112,45,67,0,0,117,0
Warren,TN,40878,92.1,3.9,42475,20227,20651,9582,4871,4711,24066,12171,11895,7230,3185,4045,774,263,511,8,0,578,0
Washington,TN,128607,376.7,3.5,49242,62829,65778,24487,12427,12060,80556,39685,40871,23564,10717,12847,2586,925,1661,76,2714480685,3344,0
Wayne,TN,16558,23.2,4.9,38879,9144,7414,2811,1469,1342,10519,6217,4302,3228,1458,1770,392,127,265,0,0,1190,0
Weakley,TN,33415,60.3,4.2,42351,16382,17033,6442,3341,3101,20745,10299,10446,6228,2742,3486,808,270,538,6,0,1023,0
White,TN,27107,68.6,3.7,42603,13262,13845,5931,3036,2895,15682,7750,7932,5494,2476,3018,656,232,424,4,0,735,0
Williamson,TN,231729,314.4,2.5,115930,113699,118030,63088,32079,31009,138161,67637,70524,30480,13983,16497,3341,1251,2090,28,757278481,25438,455
Wilson,TN,140625,199.7,2.8,76507,69171,71454,33332,17221,16111,85228,41927,43301,22065,10023,12042,1883,655,1228,12,559318111,14989,258
Anderson,TX,58057,55,3.1,45969,35546,22511,11105,5785,5320,38361,25745,12616,8591,4016,4575,886,338,548,10,0,1871,0
Andrews,TX,18128,9.9,2.4,84946,9274,8854,5569,2865,2704,10681,5565,5116,1878,844,1034,237,97,140,0,0,1106,0
Angelina,TX,87092,108.8,4.4,46653,42488,44604,22280,11277,11003,50594,24875,25719,14218,6336,7882,1729,666,1063,29,1495614617,4832,42
Aransas,TX,23792,91.9,5.7,46912,11751,12041,4172,2141,2031,12571,6220,6351,7049,3390,3659,702,322,380,0,0,151,0
Archer,TX,8786,10,3.1,61190,4326,4460,1887,945,942,5141,2563,2578,1758,818,940,211,94,117,0,0,17,0
