County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
Mohave,AZ,209550,15,5.8,45129,105979,103571,35739,18174,17565,110285,56107,54178,63526,31698,31828,6070,2813,3257,80,512505541,9047,939
Navajo,AZ,110445,10.8,7.8,40650,55281,55164,29472,14952,14520,60963,30870,30093,20010,9459,10551,1807,745,1062,12,135790417,50941,1648
Pima,AZ,1039073,106.7,4.5,53395,511456,527617,216736,110384,106352,617082,307885,309197,205255,93187,112068,25438,10132,15306,296,4143703192,78369,5878
Pinal,AZ,447138,70,5,58848,232917,214221,100778,51405,49373,255231,137530,117701,91129,43982,47147,7553,3522,4031,22,87135799,27184,991
Santa Cruz,AZ,46511,38.3,9.3,40545,22473,24038,12435,6306,6129,25655,12332,13323,8421,3835,4586,941,370,571,0,0,3802,0
Yavapai,AZ,231993,26,4.5,48758,113321,118672,37687,19337,18350,121028,59153,61875,73278,34831,38447,7425,3183,4242,39,516120516,8917,169
Yuma,AZ,212128,35.5,17,44116,109306,102822,53494,27264,26230,118806,62989,55817,39828,19053,20775,5247,2596,2651,42,2299580401,13581,182
Arkansas,AR,17769,19.2,3.4,43887,8593,9176,4074,2070,2004,10211,4957,5254,3484,1566,1918,439,149,290,0,0,136,0
Ashley,AR,20046,23.6,5.5,41127,9771,10275,4582,2348,2234,11383,5536,5847,4081,1887,2194,375,143,232,6,0,852,0
Baxter,AR,41619,74.9,4.1,39686,20096,21523,7384,3799,3585,21375,10290,11085,12860,6007,6853,1599,693,906,17,0,331,0
Benton,AR,272608,261.2,2.9,68978,135582,137026,71569,36662,34907,164482,82519,81963,36557,16401,20156,4174,1595,2579,30,854163919,8461,5
Boone,AR,37480,62.5,3.5,44482,18443,19037,8593,4452,4141,21144,10494,10650,7743,3497,4246,932,371,561,24,0,266,0
Bradley,AR,10897,17.7,4.5,37729,5306,5591,2611,1351,1260,6219,3036,3183,2067,919,1148,279,90,189,0,0,664,43
Calhoun,AR,5277,8.5,3.9,44969,2662,2615,995,508,487,3145,1649,1496,1137,505,632,122,44,78,0,0,,
Carroll,AR,28223,43.6,3.2,45023,14047,14176,6065,3071,2994,15614,7837,7777,6544,3139,3405,636,241,395,0,0,373,3
Chicot,AR,10438,18.3,6.9,31787,5272,5166,2327,1229,1098,5989,3165,2824,2122,878,1244,318,93,225,0,0,535,0
Clark,AR,22061,26.6,3.8,45408,10452,11609,4184,2090,2094,14190,6725,7465,3687,1637,2050,458,158,300,0,456821138,2025,0
