County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score
Teton,ID,11640,22.6,2.2,68749.0,6111.0,5529.0,2863.0,1471.0,1392.0,7320.0,3864.0,3456.0,1457.0,776.0,681.0,116.0,51.0,65.0,0.0,0.0
Twin Falls,ID,86081,40.2,2.7,51594.0,42488.0,43593.0,23677.0,11984.0,11693.0,49152.0,24517.0,24635.0,13252.0,5987.0,7265.0,1591.0,572.0,1019.0,30.0,0.0
Valley,ID,11041,2.7,3.8,60285.0,5720.0,5321.0,2000.0,1027.0,973.0,6269.0,3201.0,3068.0,2772.0,1492.0,1280.0,196.0,93.0,103.0,0.0,0.0
Washington,ID,10161,7.0,4.1,43402.0,5058.0,5103.0,2303.0,1147.0,1156.0,5304.0,2629.0,2675.0,2554.0,1282.0,1272.0,266.0,102.0,164.0,0.0,0.0
Illinois,IL,12741080,231.1,4.3,65063.0,,,,,,,,,,,,,,,,
Adams,IL,65691,78.5,3.9,55174.0,32308.0,33383.0,14779.0,7627.0,7152.0,37622.0,18692.0,18930.0,13290.0,5989.0,7301.0,2351.0,924.0,1427.0,25.0,1865391129.0
Alexander,IL,6060,35.0,7.9,35249.0,2932.0,3128.0,1398.0,692.0,706.0,3334.0,1642.0,1692.0,1328.0,598.0,730.0,168.0,56.0,112.0,0.0,0.0
Bond,IL,16630,46.7,4.4,54800.0,8645.0,7985.0,3234.0,1652.0,1582.0,10310.0,5613.0,4697.0,3086.0,1380.0,1706.0,434.0,135.0,299.0,0.0,0.0
Boone,IL,53577,193.0,5.8,74507.0,26785.0,26792.0,13283.0,6842.0,6441.0,31810.0,16037.0,15773.0,8484.0,3906.0,4578.0,919.0,323.0,596.0,0.0,0.0
Brown,IL,6556,22.7,2.7,55327.0,4245.0,2311.0,1041.0,541.0,500.0,4602.0,3281.0,1321.0,913.0,423.0,490.0,131.0,55.0,76.0,0.0,0.0
Bureau,IL,32993,40.2,5.0,56099.0,16199.0,16794.0,7078.0,3588.0,3490.0,18684.0,9364.0,9320.0,7231.0,3247.0,3984.0,1134.0,384.0,750.0,9.0,650953248.0
Calhoun,IL,4802,20.0,5.3,56099.0,2393.0,2409.0,991.0,495.0,496.0,2690.0,1376.0,1314.0,1121.0,522.0,599.0,144.0,45.0,99.0,0.0,0.0
Carroll,IL,14312,34.6,4.5,51963.0,7137.0,7175.0,2773.0,1413.0,1360.0,7888.0,3994.0,3894.0,3651.0,1730.0,1921.0,503.0,185.0,318.0,0.0,0.0
Cass,IL,12260,36.3,4.5,52486.0,6192.0,6068.0,2918.0,1557.0,1361.0,7154.0,3667.0,3487.0,2188.0,968.0,1220.0,314.0,104.0,210.0,0.0,0.0
Champaign,IL,209983,201.8,4.4,53251.0,104634.0,105349.0,39434.0,20113.0,19321.0,143619.0,72570.0,71049.0,26930.0,11951.0,14979.0,3724.0,1326.0,2398.0,51.0,6589586572.0
Christian,IL,32661,49.1,5.3,52936.0,16620.0,16041.0,6610.0,3379.0,3231.0,19540.0,10409.0,9131.0,6511.0,2832.0,3679.0,985.0,323.0,662.0,0.0,0.0
Clark,IL,15596,32.6,5.2,54092.0,7745.0,7851.0,3540.0,1864.0,1676.0,8959.0,4529.0,4430.0,3097.0,1352.0,1745.0,441.0,119.0,322.0,0.0,0.0
Clay,IL,13253,29.5,5.3,45427.0,6564.0,6689.0,3040.0,1562.0,1478.0,7520.0,3798.0,3722.0,2693.0,1204.0,1489.0,365.0,123.0,242.0,0.0,0.0
Clinton,IL,37639,79.7,3.6,66597.0,19499.0,18140.0,7952.0,4125.0,3827.0,23204.0,12446.0,10758.0,6483.0,2928.0,3555.0,962.0,340.0,622.0,4.0,23699993.0
Coles,IL,50885,106.0,4.8,47291.0,24678.0,26207.0,9202.0,4748.0,4454.0,33074.0,16205.0,16869.0,8609.0,3725.0,4884.0,1238.0,393.0,845.0,9.0,491229716.0
Cook,IL,5180493,5495.1,4.0,63347.0,2516081.0,2664412.0,1129672.0,574777.0,554895.0,3292654.0,1621114.0,1671540.0,758167.0,320190.0,437977.0,104366.0,34606.0,69760.0,1606.0,7341462681.0
Crawford,IL,18807,44.7,5.4,52313.0,9832.0,8975.0,3741.0,1868.0,1873.0,11509.0,6404.0,5105.0,3557.0,1560.0,1997.0,479.0,150.0,329.0,0.0,0.0
Cumberland,IL,10808,31.9,4.0,60572.0,5376.0,5432.0,2396.0,1225.0,1171.0,6295.0,3188.0,3107.0,2117.0,963.0,1154.0,309.0,103.0,206.0,0.0,0.0
DeKalb,IL,104143,166.6,4.4,63274.0,51577.0,52566.0,22292.0,11336.0,10956.0,68679.0,34343.0,34336.0,13172.0,5898.0,7274.0,1663.0,578.0,1085.0,16.0,2830038749.0
De Witt,IL,15769,41.7,5.1,55300.0,7804.0,7965.0,3368.0,1696.0,1672.0,9370.0,4769.0,4601.0,3031.0,1339.0,1692.0,374.0,134.0,240.0,0.0,0.0
Douglas,IL,19479,48.0,4.1,56976.0,9620.0,9859.0,4848.0,2470.0,2378.0,11107.0,5575.0,5532.0,3524.0,1575.0,1949.0,489.0,178.0,311.0,0.0,0.0
DuPage,IL,928589,2799.8,3.1,93540.0,456211.0,472378.0,210552.0,107682.0,102870.0,574099.0,284868.0,289231.0,143938.0,63661.0,80277.0,18706.0,6120.0,12586.0,257.0,3476983156.0
Edgar,IL,17360,29.8,4.7,51577.0,8510.0,8850.0,3540.0,1804.0,1736.0,10043.0,5055.0,4988.0,3777.0,1651.0,2126.0,538.0,179.0,359.0,0.0,0.0
Edwards,IL,6392,30.2,4.5,51280.0,3149.0,3243.0,1433.0,735.0,698.0,3584.0,1822.0,1762.0,1375.0,592.0,783.0,196.0,65.0,131.0,0.0,0.0
Effingham,IL,34208,71.5,3.7,60773.0,17043.0,17165.0,8104.0,4126.0,3978.0,20061.0,10263.0,9798.0,6043.0,2654.0,3389.0,837.0,275.0,562.0,10.0,1069988503.0
