County,State,cases,deaths
Morgan,MO,9,0
New Madrid,MO,21,1
Newton,MO,20,1
Nodaway,MO,13,0
Oregon,MO,2,0
Miller,MO,4,0
Unknown,NH,6,0
St. Louis city,MO,1955,130
Stoddard,MO,81,5
Liberty,MT,1,0
Lincoln,MT,7,1
Madison,MT,8,1
Meagher,MT,1,0
Missoula,MT,40,1
Musselshell,MT,1,0
Park,MT,8,0
Pondera,MT,2,0
Ravalli,MT,14,0
Richland,MT,3,0
Roosevelt,MT,7,0
Silver Bow,MT,11,0
Stillwater,MT,1,0
Toole,MT,29,6
Wheatland,MT,1,0
Yellowstone,MT,99,3
Adams,NE,270,11
Antelope,NE,8,0
Boone,NE,6,0
Lewis and Clark,MT,16,0
Lake,MT,5,0
Jefferson,MT,3,0
Hill,MT,1,0
Stone,MO,4,0
Sullivan,MO,59,0
Taney,MO,13,2
Texas,MO,1,0
Vernon,MO,9,0
Warren,MO,27,0
Washington,MO,11,1
Webster,MO,17,0
Worth,MO,4,0
Ste. Genevieve,MO,12,1
Wright,MO,11,0
Big Horn,MT,29,0
Broadwater,MT,4,0
Carbon,MT,6,0
Cascade,MT,17,2
Deer Lodge,MT,3,0
Flathead,MT,37,2
Gallatin,MT,151,1
Glacier,MT,6,0
Golden Valley,MT,3,0
Beaverhead,MT,1,0
Richmond,NC,163,3
Atlantic,NJ,2214,159
Burlington,NJ,4627,291
Brunswick,NC,105,4
Buncombe,NC,335,23
Burke,NC,404,14
Cabarrus,NC,488,21
Caldwell,NC,138,3
Camden,NC,3,0
Carteret,NC,36,3
Caswell,NC,61,1
Catawba,NC,211,6
Chatham,NC,634,26
Cherokee,NC,20,1
Chowan,NC,17,0
Clay,NC,5,0
Cleveland,NC,90,2
Columbus,NC,335,26
Craven,NC,204,5
Cumberland,NC,691,17
Currituck,NC,13,0
Dare,NC,22,1
Bladen,NC,101,2
Davidson,NC,413,13
Bertie,NC,122,4
Avery,NC,2,0
Seneca,NY,58,0
St. Lawrence,NY,204,2
Steuben,NY,241,18
Suffolk,NY,39643,1949
Sullivan,NY,1387,29
Tioga,NY,130,17
Tompkins,NY,164,2
Ulster,NY,1685,47
Warren,NY,255,30
Washington,NY,235,11
Wayne,NY,115,1
Westchester,NY,33480,1499
Wyoming,NY,86,3
Yates,NY,39,6
Alamance,NC,349,21
Alexander,NC,33,0
Alleghany,NC,16,0
Anson,NC,65,1
Ashe,NC,37,0
Beaufort,NC,34,0
Davie,NC,98,2
Duplin,NC,831,14
Durham,NC,1619,47
Madison,NC,3,0
Martin,NC,72,4
McDowell,NC,73,1
Mecklenburg,NC,4250,89
Mitchell,NC,14,0
Montgomery,NC,128,4
Moore,NC,205,10
Nash,NC,204,4
New Hanover,NC,195,5
Northampton,NC,147,14
Onslow,NC,110,2
Orange,NC,348,40
Pamlico,NC,10,0
Pasquotank,NC,105,11
Pender,NC,80,1
Perquimans,NC,24,2
Person,NC,48,1
Pitt,NC,304,2
Polk,NC,37,4
Macon,NC,70,1
Lincoln,NC,69,0
Lenoir,NC,216,7
Lee,NC,455,4
Edgecombe,NC,200,9
Forsyth,NC,1347,11
Franklin,NC,159,21
Gaston,NC,281,7
Gates,NC,23,1
Graham,NC,2,0
Granville,NC,306,10
Greene,NC,78,2
Guilford,NC,1264,65
Schuyler,NY,11,0
Halifax,NC,180,1
Haywood,NC,46,0
Henderson,NC,344,45
Hertford,NC,120,2
Hoke,NC,240,1
Hyde,NC,1,0
Iredell,NC,259,5
Jackson,NC,32,1
Johnston,NC,456,21
Jones,NC,26,3
Harnett,NC,288,27
Schoharie,NY,50,0
Schenectady,NY,689,30
Saratoga,NY,480,4
Curry,NM,52,0
Doña Ana,NM,477,3
Eddy,NM,22,1
Grant,NM,15,0
Guadalupe,NM,20,0
Harding,NM,1,0
Hidalgo,NM,1,0
Lea,NM,26,0
Lincoln,NM,2,0
Los Alamos,NM,6,0
Luna,NM,8,1
McKinley,NM,2415,110
Otero,NM,215,2
Quay,NM,5,1
Rio Arriba,NM,47,1
Roosevelt,NM,40,0
San Juan,NM,1733,121
San Miguel,NM,15,0
Sandoval,NM,568,27
Colfax,NM,5,0
Cibola,NM,145,5
Chaves,NM,47,2
Catron,NM,2,1
Camden,NJ,6510,338
Cape May,NJ,617,49
Cumberland,NJ,2298,73
Essex,NJ,17629,1664
Gloucester,NJ,2234,147
Hudson,NJ,18419,1183
Hunterdon,NJ,993,60
Mercer,NJ,6933,472
Middlesex,NJ,15921,994
Santa Fe,NM,142,3
Monmouth,NJ,8219,597
Ocean,NJ,8748,739
Passaic,NJ,16170,928
Salem,NJ,634,38
Somerset,NJ,4583,419
Sussex,NJ,1110,149
Union,NJ,15821,1073
Unknown,NJ,870,0
Warren,NJ,1160,131
Bernalillo,NM,1476,71
Morris,NJ,6463,615
Bergen,NJ,18272,1579
Sierra,NM,1,0
Taos,NM,24,0
Jefferson,NY,74,0
Lewis,NY,20,0
Livingston,NY,119,4
Madison,NY,316,4
Monroe,NY,2943,218
Montgomery,NY,91,5
Nassau,NY,40396,2615
New York City,NY,208085,21050
Niagara,NY,1037,51
Oneida,NY,1027,56
Onondaga,NY,2170,130
Ontario,NY,207,17
Orange,NY,10421,375
Orleans,NY,229,26
Oswego,NY,109,0
Otsego,NY,72,6
Putnam,NY,1252,60
Rensselaer,NY,491,32
Rockland,NY,13151,458
Herkimer,NY,108,1
Hamilton,NY,5,0
Greene,NY,238,5
Genesee,NY,202,5
Torrance,NM,50,1
Union,NM,4,0
Valencia,NM,75,2
Albany,NY,1860,142
Allegany,NY,45,0
Broome,NY,566,51
Cattaraugus,NY,88,3
Cayuga,NY,91,1
Chautauqua,NY,84,3
Socorro,NM,50,4
Chemung,NY,137,5
Clinton,NY,95,4
Columbia,NY,387,38
Cortland,NY,41,0
Delaware,NY,79,0
Dutchess,NY,3909,150
Erie,NY,6070,521
Essex,NY,45,0
Franklin,NY,22,0
Fulton,NY,208,13
Chenango,NY,133,2
Newberry,SC,63,1
Teton,WY,100,1
Orangeburg,SC,189,3
King George,VA,68,4
King William,VA,30,0
King and Queen,VA,13,1
Lancaster,VA,10,0
Lee,VA,9,0
Lexington city,VA,7,0
Loudoun,VA,2575,62
Louisa,VA,79,1
Lunenburg,VA,13,0
Lynchburg city,VA,80,1
Madison,VA,41,1
Manassas Park city,VA,305,6
Manassas city,VA,1092,10
Mathews,VA,5,0
Mecklenburg,VA,217,21
Middlesex,VA,15,0
Montgomery,VA,77,1
Nelson,VA,17,0
New Kent,VA,36,1
James City,VA,205,15
Newport News city,VA,273,10
Isle of Wight,VA,128,3
Highland,VA,3,0
Floyd,VA,6,0
Fluvanna,VA,92,6
Franklin,VA,36,1
Franklin city,VA,42,2
Frederick,VA,349,4
Fredericksburg city,VA,164,0
Galax city,VA,123,0
Giles,VA,5,0
Gloucester,VA,31,1
Goochland,VA,99,6
Grayson,VA,38,0
Greene,VA,34,1
Greensville,VA,73,7
Halifax,VA,30,0
Hampton city,VA,207,3
Hanover,VA,326,24
Harrisonburg city,VA,779,23
Henrico,VA,1820,133
Henry,VA,113,3
Hopewell city,VA,90,0
Norfolk city,VA,503,6
Northampton,VA,237,23
Northumberland,VA,25,1
Scott,VA,7,2
Shenandoah,VA,448,21
Smyth,VA,15,0
Southampton,VA,147,2
Spotsylvania,VA,556,7
Stafford,VA,713,4
Staunton city,VA,45,0
Suffolk city,VA,315,32
Surry,VA,10,1
Sussex,VA,154,2
Tazewell,VA,9,0
Unknown,VA,31,1
Virginia Beach city,VA,708,23
Warren,VA,157,2
Washington,VA,51,4
Waynesboro city,VA,46,0
Westmoreland,VA,65,1
Williamsburg city,VA,44,4
Winchester city,VA,189,2
Salem city,VA,34,3
Russell,VA,8,0
Rockingham,VA,518,6
Rockbridge,VA,18,0
Norton city,VA,2,0
Nottoway,VA,29,0
Orange,VA,102,1
Page,VA,220,21
Patrick,VA,19,0
Petersburg city,VA,134,3
Pittsylvania,VA,44,1
Poquoson city,VA,8,0
Portsmouth city,VA,308,11
Fauquier,VA,315,6
Powhatan,VA,35,0
Prince George,VA,126,0
Prince William,VA,5533,104
Pulaski,VA,19,0
Radford city,VA,6,0
Rappahannock,VA,13,0
Richmond,VA,276,4
Richmond city,VA,1316,24
Roanoke,VA,105,7
Roanoke city,VA,160,9
Prince Edward,VA,134,2
Falls Church city,VA,55,8
